period,agent_id,role,adopted,trust,workload
0,A001,Physician,0,0.148,0.676
0,A002,Nurse,1,0.437,0.21
0,A003,Physician,0,0.531,0.429
0,A004,Nurse,0,0.642,0.676
0,A005,Physician,0,0.336,0.709
0,A006,Physician,0,0.604,0.726
0,A007,Physician,0,0.523,0.662
0,A008,Physician,0,0.567,0.254
0,A009,Nurse,0,0.327,0.441
0,A010,Nurse,0,0.424,0.555
0,A011,Nurse,0,0.484,0.268
0,A012,Nurse,0,0.574,0.612
0,A013,Nurse,0,0.766,0.475
0,A014,Physician,0,0.551,0.789
0,A015,Physician,0,0.614,0.515
0,A016,Allied health,0,0.437,0.766
0,A017,Physician,0,0.492,1.0
0,A018,Nurse,0,0.494,0.561
0,A019,Nurse,0,0.623,0.576
0,A020,Nurse,0,0.434,0.775
0,A021,Allied health,0,0.312,0.345
0,A022,Nurse,0,0.494,0.931
0,A023,Physician,1,0.423,0.34
0,A024,Physician,0,0.489,0.481
0,A025,Nurse,0,0.612,0.657
0,A026,Nurse,0,0.303,0.435
0,A027,Allied health,0,0.35,0.697
0,A028,Nurse,0,0.411,0.769
0,A029,Physician,0,0.719,0.618
0,A030,Nurse,0,0.447,0.714
0,A031,Physician,1,0.468,0.587
0,A032,Nurse,0,0.507,0.687
0,A033,Nurse,0,0.764,0.313
0,A034,Nurse,0,0.44,0.752
0,A035,Nurse,0,0.795,0.684
0,A036,Allied health,0,0.563,0.41
0,A037,Physician,0,0.415,0.201
0,A038,Nurse,0,0.477,0.439
0,A039,Physician,0,0.46,0.712
0,A040,Nurse,0,0.374,0.283
0,A041,Nurse,0,0.281,0.204
0,A042,Nurse,0,0.391,0.527
0,A043,Nurse,0,0.444,0.318
0,A044,Physician,0,0.8,0.467
0,A045,Nurse,0,0.742,0.501
0,A046,Allied health,0,0.545,0.506
0,A047,Nurse,0,0.559,0.432
0,A048,Physician,0,0.431,0.62
0,A049,Physician,0,0.658,0.49
0,A050,Physician,0,0.662,0.369
0,A051,Physician,0,0.544,0.411
0,A052,Physician,0,0.354,0.693
0,A053,Nurse,1,0.569,0.721
0,A054,Nurse,0,0.616,0.524
0,A055,Nurse,0,0.19,0.774
0,A056,Physician,1,0.443,0.688
0,A057,Physician,0,0.468,0.635
0,A058,Physician,0,0.559,0.68
